,company_id,company_name,description,job_id,job_title,locations,locations_count,publish_date,summary
0,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Global Sales Enablement and Activation is the agile team serving as an essential sales productivity function that delivers go to market strategies, just-in-time learning, sales productivity tools, assets and learning opportunities.

As Customer Engineers (CE) Lead, you are an essential pillar of a highly experienced and skilled team driving field enablement and productivity for Google Cloud. You will develop and execute a strategy to enable Google Cloud Customer Engineers at a global scale to support our customers.

You will validate the applicability of the materials provided by subject matter experts such as product management and product marketing to help build new content for sales skills and knowledge areas and communicate expectations before, during and after to ensure learner satisfaction with the scope and depth of what is covered. 

The role requires someone who is adept at working with sales, technical sales and partner team stakeholders helping them to assess their team’s enablement needs and support them with highly innovative, measurable learning and enablement programs and assets.  The role requires planning, coordination, production and execution of assets and strategies to enable the sales teams. </p><p>Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers and developers see the benefits of our technology come to life.</p>",jobs/86234559940567750,"Customer Engineers Lead, Enablement & Activation, Google Cloud","['Sunnyvale, CA, USA', 'Seattle, WA, USA', 'Kirkland, WA, USA', 'New York, NY, USA', 'San Francisco, CA, USA']",5,2020-03-03T18:01:12.040Z,"<ul>
<li>6 years of experience developing sales enablement for a tech company, within a company with a large sales team, or for a public training provider. </li>
<li>6 years of field sales/pre-sale experience.</li>
<li>Experience in program and project management.</li>
<li>Experience developing and leading Global Enablement programs and projects for a technical/pre-sales audience.</li>
</ul>"
1,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users.<br><br>Pulling on your technical and leadership expertise, you lead end-to-end research projects in multiple areas of expertise across data center facilities and manage a team of direct reports working on equipment installation, troubleshooting and debugging.</p><p>Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. We research, design, and develop new technologies and hardware to make computing faster, seamless, and more powerful. We aim to make people's lives better through technology.</p>",jobs/119923595410318022,Chip Packaging Lead,"['Mountain View, CA, USA']",1,2020-03-04T01:36:00.720Z,"<ul>
<li>Master's degree in Electrical/Chemical/Mechanical Engineering, or equivalent practical experience. </li>
<li>10 years of experience in package design/integration/memory product development.</li>
<li>Experience working in cross-functional teams and external vendors on aligning/defining DOEs.</li>
<li>Experience in Assembly process development, system level downstream process interaction and packaging inspection metrology for DRAM/MCP memory products.
</li>
</ul>"
2,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>As the Director of Service Delivery, your primary responsibility will be to manage Google’s global scaled abuse fighting operations. You will manage a team of service delivery managers and operations experts to ensure effective and efficient operations of Google’s frontline enforcement team, who perform billions of manual reviews annually that protect users from fraud and abuse on Google products. You will have global responsibility, partnering with trusted third-party vendors and internal product vertical operations experts for managing this workforce and will be responsible for ensuring fast, high-quality and on-plan delivery of product abuse-fighting commitments. In addition, you will partner with Google internal procurement, workforce and real estate management teams to design and implement site security and diversification strategies, manage vendor negotiations and contracting, design and implement workforce management systems, execute site and vendor audits, manage feedback loops from the field back into product partners and advocate for automation and tooling needs of the reviewer workforce. Importantly, you will also lead in innovating to ensure the wellness and resilience of this frontline workforce who sometimes engage with sensitive and/or disturbing content and you will be expected to partner with internal teams to  develop creative and industry leading initiatives in the field of content moderation wellness. 
</p><p>At Google we work hard to earn our users’ trust every day. Trust &amp; Safety is Google’s team of abuse fighting and user trust experts working daily to make the internet a safer place. We partner with teams across Google to deliver bold solutions in abuse areas such as malware, spam and account hijacking. A diverse team of Analysts, Policy Specialists, Engineers, and Program Managers, we work to reduce risk and fight abuse across all of Google’s products, protecting our users, advertisers, and publishers across the globe in over 40 languages.</p>",jobs/144044903337206470,"Director, Service Delivery, Trust and Safety Solutions","['New York, NY, USA']",1,2019-12-16T18:01:08.366Z,"<ul>
<li>Bachelor’s degree or equivalent practical experience.
</li>
<li>15 years of professional experience, including 10 years of experience working in the tech industry.
</li>
<li>5 years of experience as a global people manager addressing risk, fraud, abuse and/or trust and safety issues or in leading a scaled workforce.
</li>
<li>Ability to travel internationally as required.
</li>
</ul>"
3,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Finance Data &amp; Analytics (DnA) team combines business acumen, technology and innovation to organize data enable insights and create data driven and efficient Finance organization in Google. As part of this team, you will have a unique opportunity to gain perspectives on Google’s core businesses, services and the product.
</p><p>
At Google, data drives all of our decision-making. As a Machine Learning Analyst, you will work on strategic business challenges across multiple business areas (i.e. Ads, YouTube, Search, Play, etc.) through the lens of monetization. You will collaborate with data engineers, analysts and Product Managers to create end-to-end data solutions to enable our finance partners to make informed decisions, manage risks and opportunities. You will demonstrate statistical and machine learning experience and an understanding of our business models to address complex data problems.
</p><p>
You are technically proficient, have the ability to clearly synthesize and communicate information, and have a can-do attitude. As part of DnA growing data science team, we are particularly excited about bringing on folks interested in advancing their data science skills and collaborating with others.</p><p>The name Google came from ""googol,"" a mathematical term for the number 1 followed by 100 zeros. And nobody at Google loves big numbers like the Finance team when providing in depth analysis on all manner of strategic decisions across Google products. From developing forward-thinking analysis to generating management reports to scaling our automated financial processes, the Finance organization is an important partner and advisor to the business.</p>",jobs/104633228343550662,"Senior Machine Learning Analyst, Finance Data and Analytics","['Sunnyvale, CA, USA']",1,2019-11-26T22:33:18.146Z,"<ul>
<li>Bachelor's degree in quantitative discipline or equivalent practical experience.</li>
<li>7 years of relevant work experience involving quantitative data analysis.</li>
<li>Experience with statistical software (e.g., R, Python) and database languages (e.g., SQL).</li>
</ul>"
4,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Core Developer brings together different aspects of the developer experience in a single organization: Source Management, Build/Test/Release, Languages, Platforms, Frameworks, Mobile services, and Firebase.</p>

<p>As Director, Site Reliability Engineering (SRE), you will coordinate SRE engagement needs across the organization. You will provide a single interface to engineering leadership and partner with UX and Product to ensure overall product success.</p><p>Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers and developers see the benefits of our technology come to life.</p>",jobs/77616872385585862,"Director, Site Reliability Engineering, Core Developer","['New York, NY, USA']",1,2019-11-14T17:32:54.964Z,"<ul>
<li>Bachelor’s degree in Computer Science, related technical field or equivalent practical experience. </li>
<li>15 years of experience with system design, algorithms, data structures, analysis, and software design. 
</li>
<li>15 years of experience managing a distributed team of engineers. Experience growing and building teams. </li>
<li>Experience conducting technical deep-dives into code. </li>
</ul>"
5,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>As a UX Director for Security and Privacy, you’ll partner with Product and Engineering teams to develop enterprise experiences. <br><br>In this role, you’ll help drive the future of Google Cloud’s security and identity products working with executives in Cloud UX, Product Management, and Engineering. Security is a key differentiator for Google Cloud and an area where we have the ability to leverage our technology to deliver exceptional experiences to our customers. This is a global leadership role, with a distributed team in Sunnyvale, Seattle, and Israel. As the UX Director, you’ll be an exceptional organizational lead, driving collaboration, transparency, and clarity between multiple offices, teams, and functions, while fostering a culture of user-centric design. Additionally, you’ll contribute excellent communications skills and the ability to decipher technically complex problems and articulating and leading a UX viewpoint. Lastly, you’ll bring effective product design sensibility and the ability to create simple, elegant solutions for complex, data-rich workflows. <br><br>In this role, you’ll  help define and drive the future of Google design, identifying and setting product strategy, envisioning complex UX ecosystems, and inspiring teams to expand the boundaries of what’s possible. You’ll apply your passion for excellent user experiences to guide research and design processes, develop and grow team members, and enable your teams to create the best possible experiences across all of Security and Identity.</p><p>User experience is at the forefront of how we create intuitive, innovative, and beautiful products that people love. We strive to learn and understand our users’ needs, behaviors, and emotions to gather insights that inform product strategy and design. Our UX teams include designers, researchers, content strategists, and engineers who are passionate about quality, usability, and simplicity. We work on collaborative teams to solve complex challenges and craft experiences that highlight our products’ unique capabilities and personalities. Our work touches billions while exemplifying a key principle that is core to Google’s philosophy: “Focus on the user and all else will follow.”</p>",jobs/131099072170730182,"Director, UX, Security and Privacy, Google Cloud","['Sunnyvale, CA, USA', 'Seattle, WA, USA']",2,2019-11-12T20:22:55.389Z,"<ul>
<li>Bachelor’s degree, Master’s degree, or PhD in Design, HCI, Interaction, and/or equivalent practical experience.</li>
<li>10 years of experience in a senior role, creating strategy and designing products.</li>
<li>5 years of experience leading teams of 10 or more.</li>
<li>Experience working with senior designers and executives in Product Management and Engineering.</li>
</ul>"
6,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Product and Business Strategy Leaders bring together teams across Google’s functions to help products execute optimally. Our team pushes Google to scale at key points that refine our products and infrastructure by executing efficiently, bringing solid business sense and sound judgment, and working effectively across organizational lines.<br><br>Our roles often include components of strategy (e.g. analyzing and understanding new trends in the industry, building business plans), operations (e.g. running the cadence of organizations, connecting the operating lines between our functions), and communications. Our team partners with senior leadership to run important functions that cross-cut our existing organizations and deliver high impact projects. We help Engineers, PMs, UX, and all of our other functions to build amazing products that delight our users, and then get those products into their hands.</p>

<p>As business operations lead for the Payments Platform, you’ll be a key member of the leadership team working to grow, scale and run the Platform as a service to Google’s various businesses.<br><br>As Product Operations Director, you'll be at the center of decision making for the scale Payments Platform that powers the full range of Google’s businesses, both B2B and B2C. The scope of impact spans payment processing, billing and invoicing, disbursements, end user experience, forms of payment, evolving business models, underlying reporting and accounting, fraud protection, security, regulatory compliance, and more.<br><br>In this role, you will set and drive a business operations agenda to accelerate and measure progress against business and financial impact goals, risk categories, operational excellence, velocity and cross-company strategic initiatives. You will also partner closely with senior Product, Engineering, and cross-functional and cross-company leadership.</p>",jobs/111053020986254022,"Business Operations Director, Payments Platform","['Sunnyvale, CA, USA']",1,2019-10-31T22:24:32.432Z,"<ul>
<li>Master's degree, MBA, or other graduate degree in Operations, Management, Technical, or Engineering field.</li>
<li>10 years of work experience in operations, consulting, and product management in technology growth companies.</li>
<li>Experience in payments/fintech industry.</li>
</ul>"
7,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>The Google Cloud team helps companies seamlessly make the switch to Google products and supports them along the way. You swiftly problem-solve technical issues for customers to show how our products can make businesses more productive, collaborative, and innovative. You work closely with a cross-functional team of web developers and systems administrators, not to mention a variety of both regional and international customers. Your relationships with customers are crucial in helping Google grow its Google Cloud business and in bringing our product portfolio into companies around the world.</p>
<p>As a Manager of Google Cloud Technical Solutions Engineers, you'll develop team members into skilled troubleshooting experts and cross-functional leaders who not only diagnose a wide variety of G Suite problems within minutes, but also treat each problem as an input for product innovation.

You'll be a part of a global team that provides 24x7 support to help customers seamlessly make the switch to Google Cloud. When customers cannot resolve issues themselves, your job is to ensure that we have the necessary tools and processes to swiftly resolve the issue with as little customer effort as possible.

You'll build relationships with leaders in G Suite Software Engineering, Product Management and Site Reliability Engineering which will allow you to increase instrumentation and supportability on the platform, increase the product suite’s self help capabilities. You're expected to become a trusted source of data-supported customer feedback. You'll lead excellent operations within the team, with a focus on reliable execution. You will also lead a functional area across the global team.</p><p>Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers and developers see the benefits of our technology come to life.</p>",jobs/93151872174432966,"Manager, Google Cloud Technical Solutions Engineering","['Austin, TX, USA']",1,2019-10-31T22:28:45.836Z,"<ul>
<li>Bachelor's degree in Computer Science, related technical field, or equivalent practical experience.</li>
<li>5 years of experience in technical support engineering or similar role.</li>
<li>1 year of experience leading a technical, customer-facing team (team lead or manager).</li>
</ul>"
8,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>As a Conversation Designer, you’ll leverage your knowledge of human language and communication to create seamless and natural interactions for digital systems across surfaces. You will be in a unique position to create voice-only and voice-forward experiences, partnering with internal leads to create solutions for diverse contexts like the home, mobile, auto, wearables, and more.
</p>

<p>Successful candidates will be adept at juggling multiple projects, will feel comfortable dealing with multiple stakeholders, and will be able to think strategically while also being detailed oriented when it comes to reviewing design work and providing feedback and guidance.
</p>

<p>Please include URLs with portfolios in addition to resume. Submissions without work samples included will not be considered.</p><p>User experience is at the forefront of how we create intuitive, innovative, and beautiful products that people love. We strive to learn and understand our users’ needs, behaviors, and emotions to gather insights that inform product strategy and design. Our UX teams include designers, researchers, content strategists, and engineers who are passionate about quality, usability, and simplicity. We work on collaborative teams to solve complex challenges and craft experiences that highlight our products’ unique capabilities and personalities. Our work touches billions while exemplifying a key principle that is core to Google’s philosophy: “Focus on the user and all else will follow.”</p>",jobs/117518149357576902,Conversation Designer,"['Mountain View, CA, USA']",1,2019-10-31T22:24:27.435Z,"<ul>
<li>Bachelor's degree in Human-Computer Interaction (HCI), Linguistics, or a related field, or equivalent practical experience.</li>
<li>Demonstrable experience designing voice and/or multi-modal applications.</li>
</ul>"
0,projects/gweb-careers-proto/companies/ebbbf0d1-8121-483c-8f99-ee92597591fc,Google,"<p>Trust &amp; Safety team members are tasked with identifying and taking on the biggest problems that challenge the safety and integrity of our products. They use technical know-how, excellent problem-solving skills, user insights, and proactive communication to protect users and our partners from abuse across Google products like Search, Maps, Gmail, and Google Ads. On this team, you're a big-picture thinker and strategic team-player with a passion for doing what’s right. You work globally and cross-functionally with Google engineers and product managers to identify and fight abuse and fraud cases at Google speed - with urgency. And you take pride in knowing that every day you are working hard to promote trust in Google and ensuring the highest levels of user safety.</p>
<p>As a Trust and Safety Associate Principal in Cloud (API), your primary responsibility will be to build trust with the billions of users that sign into Google apps daily. Our team works closely with the Engineering and Product teams responsible for authorization and authentication of Google Services. We help protect Google accounts from hijackers, spammers, malware developers and more. You'll be involved with launching some of the most exciting and innovative products at Google.

You'll lead a team responsible for protecting Google and its users by fighting abuse and fraud for at least one Google product. You ensure trust and reputation not only for this product but also for Google as a broader brand and company. You demonstrate analytical thinking through data-driven decisions. You have the technical know-how, charisma and ability to work with your team to make a big impact.</p><p>At Google we work hard to earn our users’ trust every day. Trust &amp; Safety is Google’s team of abuse fighting and user trust experts working daily to make the internet a safer place. We partner with teams across Google to deliver bold solutions in abuse areas such as malware, spam and account hijacking. A diverse team of Analysts, Policy Specialists, Engineers, and Program Managers, we work to reduce risk and fight abuse across all of Google’s products, protecting our users, advertisers, and publishers across the globe in over 40 languages.</p>",jobs/111599091785310918,"Manager, Trust and Safety, Cloud","['Sunnyvale, CA, USA']",1,2020-01-02T18:30:53.615Z,"<ul>
<li>Bachelor's degree in Engineering, Technology or equivalent practical experience.</li>
<li>7 years of management consulting experience or 4 years of experience in operations or program management in a technical environment.</li>
<li>Experience with strategic programs that span multiple organizations.</li>
</ul>"
