,job_title,location,category,type
0,SR SOFTWARE ENGINEER - SAP Functional - Financial Group Reporting,"Atlanta, GA",Technology,Corporate/Other
1,SR SOFTWARE ENGINEER - SAP Functional Analyst (Group Reporting),"Atlanta, GA",Technology,Corporate/Other
2,SR SOFTWARE ENGINEER - SAP P2P (Functional),"Atlanta, GA",Technology,Corporate/Other
3,"Systems Engineer Principal/Architect - Data Security – Crypto, PKI and Encryption","Austin, TX",Technology,Corporate/Other
4,HDQC Manager of Software Engineering - SRE,"Vancouver, WA",Technology,Corporate/Other
5,GC SOFTWARE ENGINEER,"Houston, TX",E-Commerce,Corporate/Other
6,SR SOFTWARE ENGINEER,"Atlanta, GA",Technology,Corporate/Other
7,QUALITY ASSURANCE ENGINEER,"Atlanta, GA",Logistics/Supply Chain/Import,Corporate/Other
8,ENGINEER QUALITY ASSURANCE,"Atlanta, GA",Engineering,Corporate/Other
9,MANAGER DC ENGINEERING,"Atlanta, GA",Logistics/Supply Chain/Import,Corporate/Other
10,SOFTWARE ENGINEER SR MANAGER,"Atlanta, GA",Technology,Corporate/Other
11,Software Engineer Senior Manager,"Austin, TX",Technology,Corporate/Other
12,Software Engineer Senior Manager,"Atlanta, GA",Technology,Corporate/Other
13,Systems Engineer Principal - Security,"Atlanta, GA",Technology,Corporate/Other
14,Systems Engineer Principal - Security,"Austin, TX",Technology,Corporate/Other
15,Systems Engineer Principal-Infrastructure,"Austin, TX",Technology,Corporate/Other
16,Systems Engineer Principal- Infrastructure,"Atlanta, GA",Technology,Corporate/Other
17,Staff Software Engineer - OrangeMethod Training,"Atlanta, GA",Technology,Corporate/Other
18,SR SOFTWARE ENGINEER - SAP ABAP/PI (Functional),"Austin, TX",Technology,Corporate/Other
19,SOFTWARE ENGINEER SR MANAGER - Home Services,"Atlanta, GA",Technology,Corporate/Other
20,CYBERSECURITY STAFF-LEAD ENGINEER - IAM (Identity Access Management),"Austin, TX",Technology,Corporate/Other
21,CYBERSECURITY SENIOR ENGINEER – Endpoint Security,"Austin, TX",Technology,Corporate/Other
22,SOFTWARE ENGINEER - Home Services,"Austin, TX",Technology,Corporate/Other
