,Unnamed: 0,country,subCategory,industry,title,multi_location,type,orgFunction,experience,locale,multi_location_array,jobSeqNo,postedDate,searchresults_display,descriptionTeaser,dateCreated,state,targetLevel,jd_display,reqId,badge,jobId,isMultiLocation,jobVisibility,mostpopular,location,category,locationLatlong
0,0,United States,Software Engineering,,Software Engineer II,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",798458,2020-02-22T05:33:00,,"Security is a topic you read about every day, and securing the Cloud is more important than ever. Business and governments are under constant threat from a variety of actors, and they are moving to",2020-02-22T06:45:32.517000,Washington,62.0,,,,798458,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
2,2,United States,Hardware Development Engineering,,Silicon Principal CAD Engineer,"['Raleigh, North Carolina, United States']",,,Experienced professionals,en_us,"[{'location': 'Raleigh, North Carolina, United States'}]",790592,2020-02-07T17:49:00,,Do you have broad technical knowledge of silicon development process from specification to release to fabrication? You will be part of a team responsible for delivering the latest EDA tool,2020-02-07T19:02:05.505000,North Carolina,65.0,,,,790592,True,['external'],0.0,"Raleigh, North Carolina, United States",Hardware Engineering,
4,4,United States,Software Engineering,,Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",781275,2020-01-27T19:29:00,,Are you looking for an opportunity to build software and systems for some of the biggest data centers that humanity has ever created? The Azure Networking team is responsible for designing and,2020-01-27T20:13:18.834000,Washington,62.0,,,,781275,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
5,5,United States,Software Engineering,,Senior Software Engineer,"['Bellevue, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Bellevue, Washington, United States'}]",777690,2020-02-21T01:52:00,,"Are you interested in working for one of the most exciting teams in Microsoft? Then look no further than Microsoft Teams Core Services team. You will be building resilient, highly available, highly",2020-02-21T01:54:44.705000,Washington,63.0,,,,777690,True,['external'],0.0,"Bellevue, Washington, United States",Engineering,
6,6,United States,Software Engineering,,Principal Software Engineer,"['Bellevue, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Bellevue, Washington, United States'}]",765338,2020-02-21T01:53:00,,Are you interested in working for one of the most exciting products at Microsoft? Then look no further than Microsoft Teams. You will be building solutions that leverage state of the art technologies,2020-02-21T01:54:47.663000,Washington,65.0,,,,765338,True,['external'],0.0,"Bellevue, Washington, United States",Engineering,
10,10,United States,Software Engineering,,Software Engineer II,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",789834,2020-02-08T00:29:00,,"Would you like to contribute to Windows, a product that tens of millions use everyday? Join us to advance the Windows OS for our customers. You can make it better. We lead the way on creating and",2020-02-08T01:07:39.687000,Washington,61.0,,,,789834,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
13,13,United States,Software Engineering,,Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",796848,2020-02-24T18:07:00,,"Are you looking to add cloud experience onto your resume? Are you excited to be at the forefront of software as a service, especially for the highly profitable and high growth enterprise customers?",2020-02-24T18:16:33.064000,Washington,60.0,,,,796848,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
14,14,United States,Software Engineering,,Principal Software Engineering Manager - CTJ,"['Reston, Virginia, United States']",,,Experienced professionals,en_us,"[{'location': 'Reston, Virginia, United States'}]",747130,2019-11-20T22:42:00,,Be a part of the digital transformation revolution! The Internet of Things (IoT) is changing the business landscape and Microsoft has emerged as a leading innovator in this field. The Azure IoT team,2019-11-20T22:46:36.599000,Virginia,66.0,,,,747130,True,['external'],0.0,"Reston, Virginia, United States",Engineering,
15,15,United States,Software Engineering,,Senior Software Engineer - CTJ,"['Reston, Virginia, United States']",,,Experienced professionals,en_us,"[{'location': 'Reston, Virginia, United States'}]",747126,2019-11-20T22:49:00,,Be a part of the digital transformation revolution! The Internet of Things (IoT) is changing the business landscape and Microsoft has emerged as a leading innovator in this field. The Azure IoT team,2019-11-20T22:57:32.909000,Virginia,64.0,,,,747126,True,['external'],0.0,"Reston, Virginia, United States",Engineering,
16,16,United States,Software Development,,Senior SWFW Engineer,"['Sunnyvale, California, United States']",,,Experienced professionals,en_us,"[{'location': 'Sunnyvale, California, United States'}]",795458,2020-02-24T17:51:00,,Microsoft Devices Software team is on a journey to create new experiences with Surface Duo. We believe in building devices that fully express the Microsoft vision. Fundamental part of our strategy is,2020-02-24T17:55:34.519000,California,64.0,,,,795458,True,['external'],0.0,"Sunnyvale, California, United States",Engineering,
26,26,United States,Software Engineering,,Senior Firmware Development Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",798498,2020-02-24T08:58:00,,"The Cloud Server Infrastructure Firmware Development (CSI-FW) team is responsible for server hardware definition, design and development of Server and Rack Infrastructure engineering for Microsoft's",2020-02-24T09:02:32.895000,Washington,63.0,,,,798498,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
31,31,United States,Software Engineering,,"Principal Software Engineer, Azure Networking","['Atlanta, Georgia, United States']",,,Experienced professionals,en_us,"[{'location': 'Atlanta, Georgia, United States'}]",798609,2020-02-24T14:22:00,," Microsoft Azure is in the cloud race to win it. We are part of the Azure networking team responsible for designing, building, and operating critical network services that will help us differentiate",2020-02-24T14:25:02.248000,Georgia,65.0,,,,798609,True,['external'],0.0,"Atlanta, Georgia, United States",Engineering,
32,32,United States,Service Engineering,,Site Reliability Engineer II - CTJ,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",683566,2019-12-12T22:44:00,,Are you passionate about cloud technology?  Do you want to learn the core of what matters in building a cloud service from the best people in the industry? The Power BI group is building,2019-12-12T22:48:42.065000,Washington,62.0,,,,683566,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
33,33,United States,Software Engineering,,Software Engineer II - CTJ,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",674963,2019-07-29T20:33:00,,"Microsoft bets on Artificial Intelligence as the next growth opportunity for the company. Bing, Cortana, Office 365 and MS Research are in the forefront in applying Deep Learning to Natural Language",2019-07-29T20:36:33.583000,Washington,61.0,,,,674963,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
34,34,United States,Software Engineering,,Senior Software Development Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",758266,2019-12-10T10:09:00,,We are seeking a talented software engineer who is passionate about leading and delivering highly reliable and secure firmware and software solutions for Microsoft Azure Cloud Server platforms. The,2019-12-10T10:12:32.369000,Washington,64.0,,,,758266,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
36,36,United States,Software Engineering,,Senior Systems Engineer - Microsoft Teams Audio and Video Peripherals,"['Bellevue, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Bellevue, Washington, United States'}]",687925,2020-02-21T17:15:00,,In the Teams ecosystem we care deeply about our partners that are building devices and associated services to complement our Teams offering. It is an exciting area where we pioneer new ways to connect,2020-02-21T17:18:39.125000,Washington,63.0,,,,687925,True,['external'],0.0,"Bellevue, Washington, United States",Engineering,
37,37,United States,Software Engineering,,Cloud Server Infrastructure Sr Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",746668,2019-11-21T03:27:00,,The Cloud Server Infrastructure Sr Software Diagnostics Development Engineer (CSIDIAG) team is responsible for designing and developing hardware diagnostic software for Server and Rack Infrastructure,2019-11-21T03:34:35.669000,Washington,64.0,,,,746668,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
38,38,United States,Software Engineering,,Principal Software Engineer,"['Sunnyvale, California, United States']",,,Experienced professionals,en_us,"[{'location': 'Sunnyvale, California, United States'}]",792891,2020-02-19T08:27:00,,"Microsoft Azure is in the cloud race to win it. We are part of the Azure networking team responsible for designing, building and operating critical network services that will help us differentiate",2020-02-21T17:45:59.228000,California,65.0,,,,792891,True,['external'],0.0,"Sunnyvale, California, United States",Engineering,
39,39,United States,Software Engineering,,Software Development Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",716819,2019-10-07T18:49:00,,Do you want to help deliver cutting edge technology to Azure? Are you passionate about quality? Do you like collaborative solutions? Does providing top-tier seamless customer experiences on one the,2019-10-07T18:53:43.454000,Washington,61.0,,,,716819,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
45,45,United States,Software Engineering,,Software Engineer,"['Cambridge, Massachusetts, United States']",,,Experienced professionals,en_us,"[{'location': 'Cambridge, Massachusetts, United States'}]",796475,2020-02-21T19:22:00,,"Do you want your software to help millions of people and organizations achieve more? Do you want to write code for Android, iOS, Windows, and Mac? Do you want learning how to be a better engineer to",2020-02-21T19:29:35.708000,Massachusetts,60.0,,,,796475,True,['external'],0.0,"Cambridge, Massachusetts, United States",Engineering,
47,47,United States,Software Engineering,,Software Engineering Manager,"['Houston, Texas, United States']",,,Experienced professionals,en_us,"[{'location': 'Houston, Texas, United States'}]",710751,2019-09-25T16:09:00,,Microsoft&rsquo;s Energy sector is one of the fastest growing industries in our global portfolio and our customers are asking for our help in changing the way that energy is produced. With a greater,2019-09-25T16:11:32.187000,Texas,66.0,,,,710751,True,['external'],0.0,"Houston, Texas, United States",Engineering,
52,2,United States,Software Engineering,,Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",796556,2020-02-19T03:16:00,,Are you looking to build Software as a Service (SaaS) applications to enable our business customers to undertake their journeys of digital transformation? As part of the Dynamics 365 engineering,2020-02-19T03:17:31.325000,Washington,60.0,,,,796556,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
64,14,United States,Software Engineering,,Senior Software Engineer - Azure OneDeploy,"['Atlanta, Georgia, United States']",,,Experienced professionals,en_us,"[{'location': 'Atlanta, Georgia, United States'}]",795680,2020-02-22T15:53:00,,"Do you want to work in a team that&rsquo;s at the heart of the Microsoft&rsquo;s public Elastic Compute and Storage cloud, as well as Microsoft&rsquo;s private Bing cloud? The three key services a",2020-02-22T15:54:32.781000,Georgia,63.0,,,,795680,True,['external'],0.0,"Atlanta, Georgia, United States",Engineering,
65,15,United States,Software Engineering,,Software Engineer II,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",798578,2020-02-23T02:14:00,,"Every once in a while, a job comes along with the opportunity to positively affect the productivity and experience of all engineers working at Microsoft. If you&rsquo;ve been waiting for such a",2020-02-23T02:16:30.968000,Washington,61.0,,,,798578,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
67,17,United States,Software Engineering,,Senior Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",772457,2020-01-15T18:06:00,,"Our VisionThe vision of the Azure Production Infrastructure Engineering (PIE) group is to make it easy for everyone to create, consume, and manage planetary-scale, reliable cloud production services",2020-01-15T18:09:34.393000,Washington,63.0,,,,772457,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
68,18,United States,Software Engineering,,Senior Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",776632,2020-01-27T16:47:00,,"Do you want to be part of a world-class team that&rsquo;s building a high performance and high scale solution that will enable our customers to track their offerings? If so, the Azure PIE team is",2020-01-27T17:23:32.692000,Washington,63.0,,,,776632,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
69,19,United States,Software Engineering,,Software Engineer II,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",798458,2020-02-22T05:33:00,,"Security is a topic you read about every day, and securing the Cloud is more important than ever. Business and governments are under constant threat from a variety of actors, and they are moving to",2020-02-22T06:45:32.517000,Washington,62.0,,,,798458,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
71,21,United States,Software Engineering,,Senior Electrical Engineer,"['Bellevue, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Bellevue, Washington, United States'}]",797164,2020-02-20T19:06:00,,"Do you want to define the next generation of hardware innovation in devices for Microsoft Teams? Enable the best quality audio, video in Teams calls and meetings? Create breakthrough collaboration",2020-02-23T13:55:10.627000,Washington,64.0,,,,797164,True,['external'],0.0,"Bellevue, Washington, United States",Engineering,
75,25,United States,Service Engineering,,Site Reliability Engineer II - CTJ,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",683566,2019-12-12T22:44:00,,Are you passionate about cloud technology?  Do you want to learn the core of what matters in building a cloud service from the best people in the industry? The Power BI group is building,2019-12-12T22:48:42.065000,Washington,62.0,,,,683566,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
76,26,United States,Software Engineering,,Software Engineer II - CTJ,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",674963,2019-07-29T20:33:00,,"Microsoft bets on Artificial Intelligence as the next growth opportunity for the company. Bing, Cortana, Office 365 and MS Research are in the forefront in applying Deep Learning to Natural Language",2019-07-29T20:36:33.583000,Washington,61.0,,,,674963,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
77,27,United States,Software Engineering,,Principal Software Engineering Manager - CTJ,"['Reston, Virginia, United States']",,,Experienced professionals,en_us,"[{'location': 'Reston, Virginia, United States'}]",747130,2019-11-20T22:42:00,,Be a part of the digital transformation revolution! The Internet of Things (IoT) is changing the business landscape and Microsoft has emerged as a leading innovator in this field. The Azure IoT team,2019-11-20T22:46:36.599000,Virginia,66.0,,,,747130,True,['external'],0.0,"Reston, Virginia, United States",Engineering,
78,28,United States,Software Engineering,,Senior Software Engineer - CTJ,"['Reston, Virginia, United States']",,,Experienced professionals,en_us,"[{'location': 'Reston, Virginia, United States'}]",747126,2019-11-20T22:49:00,,Be a part of the digital transformation revolution! The Internet of Things (IoT) is changing the business landscape and Microsoft has emerged as a leading innovator in this field. The Azure IoT team,2019-11-20T22:57:32.909000,Virginia,64.0,,,,747126,True,['external'],0.0,"Reston, Virginia, United States",Engineering,
79,29,United States,Software Engineering,,Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",796848,2020-02-24T18:07:00,,"Are you looking to add cloud experience onto your resume? Are you excited to be at the forefront of software as a service, especially for the highly profitable and high growth enterprise customers?",2020-02-24T18:16:33.064000,Washington,60.0,,,,796848,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
80,30,United States,Software Development,,Senior SWFW Engineer,"['Sunnyvale, California, United States']",,,Experienced professionals,en_us,"[{'location': 'Sunnyvale, California, United States'}]",795458,2020-02-24T17:51:00,,Microsoft Devices Software team is on a journey to create new experiences with Surface Duo. We believe in building devices that fully express the Microsoft vision. Fundamental part of our strategy is,2020-02-24T17:55:34.519000,California,64.0,,,,795458,True,['external'],0.0,"Sunnyvale, California, United States",Engineering,
82,32,United States,Support Engineering,,Support Engineer,"['Bellevue, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Bellevue, Washington, United States'}]",795614,2020-02-24T18:51:00,,"Make Microsoft Advertising Technical Support part of your career story! Microsoft Advertising is the destination for experienced, collaborative, and passionate digital advertising professionals",2020-02-24T18:55:34.155000,Washington,61.0,,,,795614,True,['external'],0.0,"Bellevue, Washington, United States",Services,
83,33,United States,Software Engineering,,Senior Site Reliability Engineer - CTJ,"['Reston, Virginia, United States']",,,Experienced professionals,en_us,"[{'location': 'Reston, Virginia, United States'}]",787003,2020-02-05T20:47:00,,"Azure Machine Learning Services is a set of services that enable Azure customers to build end to end machine learning experience: data processing for ML, training on data, Multiple popular frameworks",2020-02-05T20:51:08.665000,Virginia,64.0,,,,787003,True,['external'],0.0,"Reston, Virginia, United States",Engineering,
85,35,United States,Software Engineering,,Senior Software Engineer,"['Bellevue, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Bellevue, Washington, United States'}]",764343,2020-02-24T20:15:00,,"As the market leader in the BI SaaS space, PowerBI is quite possibly the most exciting Microsoft service today - frequently in the news, growing its user base very rapidly, and making waves across the",2020-02-24T20:18:40.338000,Washington,63.0,,,,764343,True,['external'],0.0,"Bellevue, Washington, United States",Engineering,
86,36,United States,Software Engineering,,Principal Software Engineering Manager,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",792596,2020-02-12T18:28:00,,Are you passionate about making developers more productive and collaborative? We are the Visual Studio Online team and our charter is to take software development to the next level where cloud,2020-02-12T18:31:12.209000,Washington,65.0,,,,792596,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
87,37,United States,Software Engineering,,Senior Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",796684,2020-02-25T17:39:00,,The Edge Device Services team (EDS) is responsible for a set of services that power Edge devices running various operating systems and we are looking for talented software engineers to work on our IoT,2020-02-25T17:41:49.633000,Washington,63.0,,,,796684,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
89,39,United States,Software Engineering,,Senior Software Engineer,"['Redmond, Washington, United States']",,,Experienced professionals,en_us,"[{'location': 'Redmond, Washington, United States'}]",738763,2020-02-23T05:50:00,," Microsoft Azure SQL DB is a leader in managed relational database business, and we are growing rapidly. We are operating hundreds of thousands of servers worldwide with millions of databases in over",2020-02-25T18:36:52.387000,Washington,63.0,,,,738763,True,['external'],0.0,"Redmond, Washington, United States",Engineering,
