,num_job_openings
"Redmond, Washington, United States",1469
"Bellevue, Washington, United States",178
"Reston, Virginia, United States",77
"Atlanta, Georgia, United States",70
"Sunnyvale, California, United States",70
"Charlotte, North Carolina, United States",65
"Las Colinas, Texas, United States",45
"Issaquah, Washington, United States",40
"Fargo, North Dakota, United States",26
"Mountain View, California, United States",24
"Raleigh, North Carolina, United States",22
"Other, Other, United States",22
"San Francisco, California, United States",14
"Cambridge, Massachusetts, United States",10
"Santa Monica, California, United States",8
"Elkridge, Maryland, United States",8
"Fort Collins, Colorado, United States",7
"Pittsburgh, Pennsylvania, United States",4
"New York, New York, United States",4
"Houston, Texas, United States",2
"Berkeley, California, United States",2
"Boise, Idaho, United States",1
"Washington D.C., District of Columbia, United States",1
